ra,ano_base,ano_alvo,nome,fase_num,idade,genero,ano_ingresso,inde,pedra,defasagem,iaa,ieg,ips,ipp,ida,ipv,ian,mat,por,ing,defasagem_next,inde_next,ian_next,pedra_next,y_risco,y_piora_defasagem,y_queda_inde,features_ausentes
RA-211,2022,2023,Aluno-211,3.0,13.0,M,2021,8.465,Topázio,0,9.2,8.8,7.5,,7.6,8.458,10.0,6.7,7.5,8.5,0,8.024791667,10.0,Topázio,0,0,1,False
RA-211,2023,2024,Aluno-211,4.0,14.0,M,2021,8.024791667,Topázio,0,9.6,9.4,2.52,7.65625,7.1,8.71,10.0,7.7,8.0,5.7,0,8.283601875933334,10.0,Topázio,0,0,0,False
RA-215,2022,2023,Aluno-215,3.0,13.0,F,2021,7.172,Ametista,0,6.7,5.8,7.5,,7.8,6.542,10.0,5.7,7.7,10.0,0,7.166475,10.0,Ametista,0,0,1,False
RA-215,2023,2024,Aluno-215,4.0,14.0,F,2021,7.166475,Ametista,0,8.8,6.6,2.52,7.96875,6.9,7.7125,10.0,5.7,6.7,8.3,0,7.045258874400002,10.0,Ametista,0,0,1,False
RA-217,2022,2023,Aluno-217,3.0,15.0,F,2021,7.397,Ametista,-2,7.9,8.5,7.5,,7.1,7.292,5.0,6.3,7.2,7.7,-1,6.96965,5.0,Ágata,1,0,1,False
RA-217,2023,2024,Aluno-217,4.0,,F,2021,6.96965,Ágata,-1,8.3,8.6,2.52,8.4375,5.6,8.5025,5.0,6.7,5.3,4.8,-1,7.4209164502,5.0,Ametista,1,0,0,False
RA-218,2022,2023,Aluno-218,3.0,14.0,F,2022,6.1,Ágata,-1,6.3,7.3,7.5,,4.0,6.125,5.0,5.0,7.0,0.0,-1,5.811541667,5.0,Quartzo,1,0,1,False
RA-220,2022,2023,Aluno-220,3.0,13.0,F,2022,7.028,Ágata,0,0.0,8.1,7.5,,6.5,7.833,10.0,6.8,6.8,5.8,0,7.102016667,10.0,Ametista,0,0,0,False
RA-220,2023,2024,Aluno-220,4.0,14.0,F,2022,7.102016667,Ametista,0,8.8,7.6,2.52,7.1875,6.1,7.5475,10.0,6.3,5.8,6.3,0,7.6987770562666675,10.0,Ametista,0,0,0,False
RA-221,2022,2023,Aluno-221,3.0,14.0,M,2022,6.892,Ágata,-1,9.6,8.5,7.5,,5.2,6.0,5.0,7.0,3.5,5.0,-2,6.959916667,5.0,Ágata,1,1,0,False
RA-223,2022,2023,Aluno-223,3.0,13.0,F,2022,4.966,Quartzo,0,0.0,4.6,7.5,,3.1,5.583,10.0,4.3,4.7,0.2,-1,5.089833333,5.0,Quartzo,1,1,0,False
RA-227,2022,2023,Aluno-227,3.0,12.0,M,2022,6.471,Ágata,0,9.2,6.4,7.5,,3.3,5.833,10.0,4.7,4.3,1.0,0,7.722125,10.0,Ametista,0,0,0,False
RA-227,2023,2024,Aluno-227,3.0,,M,2022,7.722125,Ametista,0,9.6,7.5,5.63,8.28125,6.9,7.4625,10.0,7.2,6.5,7.0,0,8.074015455333335,10.0,Topázio,0,0,0,False
RA-229,2022,2023,Aluno-229,3.0,12.0,M,2022,8.62,Topázio,0,10.0,9.4,7.5,,6.9,8.5,10.0,7.0,6.7,7.2,1,8.207591667,10.0,Topázio,0,0,1,False
RA-229,2023,2024,Aluno-229,4.0,,M,2022,8.207591667,Topázio,1,9.2,9.8,2.52,8.28125,7.8,8.42,10.0,8.0,8.2,7.3,1,8.852545634933334,10.0,Topázio,0,0,0,False
